---------------------------------------------------------------------------
userSimulator iteration #1 : 
Node 0 : 
User ID: 18564| Type: 1| Action ID: 1| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 1| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 1| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 2| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 2| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 3| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 2| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 4| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 5| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 3| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 4| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 6| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 7| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 5| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 8| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 9| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 6| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 3| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 4| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 5| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 10| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 7| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 6| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 8| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 11| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 9| Timestamp: 1678200027
User ID: 18564| Type: 1| Action ID: 12| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 7| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 10| Timestamp: 1678200027
User ID: 18564| Type: 2| Action ID: 11| Timestamp: 1678200027
User ID: 18564| Type: 0| Action ID: 8| Timestamp: 1678200027
