Iteration: 1
1549 171 0
1549 171 119 1
1549 171 0 2
1549 171 0 3
1549 171 0 4
1549 171 0 5
1549 171 0 6
1577 2653 136 7
1549 171 0 8
1549 171 119 9
1549 171 0 10
1549 171 0 11
1549 171 0 12
1549 171 119 13
1549 171 0 14
1549 171 0 15
1549 171 0 16
1549 171 0 17
1549 171 0 18
1549 171 0 19
1549 171 0 20
1577 2653 136 21
1549 171 0 22
1549 171 0 23
1549 171 0 24
1549 171 119 25
1549 171 119 26
1549 171 119 27
1549 171 0 28
1549 171 0 29
1549 171 0 30
1549 171 0 31
1549 171 0 32
1549 171 0 33
1574 428 34
1549 171 0 35
1549 171 0 36
1549 171 0 37
1549 171 0 38
1549 171 119 39
1549 171 0 40
1549 171 0 41
1549 171 0 42
1549 171 0 43
1549 171 0 44
1549 171 0 45
1549 171 0 46
1549 171 0 47
1549 171 119 48
1549 171 0 49
1549 171 119 50
1549 171 0 51
1549 171 0 52
1549 171 0 53
1549 171 119 54
1549 171 0 55
1577 2653 136 56
1549 171 0 57
1577 1912 58
1549 171 0 59
1549 171 0 60
1549 171 0 61
1549 171 0 62
1549 171 0 63
1549 171 64
1549 171 0 65
1549 171 0 66
1577 2653 136 67
1549 171 0 68
1549 171 0 69
1549 171 0 70
1549 171 0 71
1549 171 0 72
1549 171 0 73
1549 171 0 74
1549 171 0 75
1549 171 0 76
1549 171 0 77
1549 171 0 78
1549 171 119 79
1549 171 0 80
1549 171 0 81
1549 171 119 82
1549 171 0 83
1549 171 0 84
1549 171 0 85
1549 171 0 86
1577 2653 136 87
1549 171 0 88
1549 171 0 89
1549 171 0 90
1549 171 0 91
1549 171 0 92
1549 171 0 93
1549 171 0 94
1549 171 0 95
1549 171 0 96
1549 171 0 97
1549 171 119 98
1549 171 0 99
1549 171 217 100
1549 171 0 101
1549 171 0 102
1577 2653 136 103
1549 171 0 104
1549 171 119 105
1549 171 0 106
1611 107
1549 171 0 108
1549 171 119 109
1549 171 0 110
1549 171 0 111
1549 171 0 112
1549 171 119 113
1549 171 0 114
1549 171 0 115
1549 171 0 116
1549 171 0 117
1549 171 0 118
1549 171 119
1577 2653 136 120
1549 171 0 121
1577 2653 136 122
1549 171 0 123
1549 171 0 124
1577 2653 136 125
1549 171 0 126
1549 171 0 127
1549 171 150 128
1549 171 0 129
1549 171 0 130
1549 171 0 131
1549 171 119 132
1549 171 0 133
1549 171 0 134
1549 171 0 135
1577 2653 136
1549 171 0 137
1549 171 0 138
1549 171 0 139
1549 171 0 140
1549 171 0 141
1549 171 0 142
1549 171 0 143
1549 171 0 144
1549 171 0 145
1577 2653 136 146
1549 171 0 147
1549 171 119 148
1549 171 0 149
1549 171 150
1549 171 0 151
1549 171 0 152
1549 171 0 153
1549 171 0 154
1549 171 0 155
1577 2653 136 156
1549 171 0 157
1549 171 0 158
1549 171 0 159
1549 171 0 160
1549 171 0 161
1549 171 0 162
1549 171 150 163
1549 171 0 164
1549 171 0 165
1549 171 0 166
1549 171 0 167
1549 171 0 168
1577 2653 136 169
1549 171 119 170
1549 171
1549 171 0 172
1514 1694 649 173
1549 171 0 174
1549 171 0 175
1549 171 119 176
1549 171 0 177
1549 171 0 178
1549 171 0 179
1549 171 0 180
1549 171 0 181
1549 171 0 182
1549 171 0 183
1549 171 0 184
1549 171 119 185
1549 171 0 186
1549 171 0 187
1549 171 119 188
1549 171 189
1549 171 0 190
1549 171 0 191
1549 171 0 192
1549 171 0 193
1549 171 0 194
1549 171 0 195
1549 171 0 196
1549 171 0 197
1574 563 549 198
1549 171 119 199
1549 171 119 200
1549 171 0 201
1549 171 0 202
1549 171 119 203
1549 171 0 204
1549 171 0 205
1549 171 0 206
1549 171 0 207
1549 171 119 208
1549 171 0 209
1549 171 0 210
1549 171 0 211
1549 171 0 212
1577 2653 136 213
1549 171 0 214
1549 171 0 215
1549 171 0 216
1549 171 217
1549 171 0 218
1549 171 0 219
1549 171 0 220
1549 171 0 221
1549 171 0 222
1549 171 0 223
1549 171 0 224
1549 171 0 225
1549 171 0 226
1549 171 0 227
1549 171 0 228
1549 171 119 229
1549 171 0 230
1549 171 0 231
1549 171 0 232
1549 171 0 233
1549 171 0 234
1549 171 0 235
1549 171 0 236
1549 171 0 237
1549 171 0 238
1549 171 119 239
1549 171 0 240
1549 171 0 241
1549 171 0 242
1549 171 0 243
1549 171 0 244
1549 171 0 245
1577 2653 136 246
1549 171 0 247
1549 171 119 248
1549 171 0 249
1549 171 0 250
1549 171 0 251
1549 171 119 252
1549 171 0 253
1549 171 0 254
1549 171 0 255
1549 171 0 256
1549 171 0 257
1549 171 0 258
1549 171 0 259
1549 171 0 260
1549 171 119 261
1549 171 0 262
1549 171 0 263
1549 171 0 264
1549 171 0 265
1549 171 0 266
1549 171 0 267
1549 171 0 268
1549 171 119 269
1549 171 0 270
1549 171 119 271
1549 171 0 272
1549 171 0 273
1549 171 0 274
1549 171 0 275
1549 171 0 276
1549 171 119 277
1549 171 0 278
1549 171 0 279
1549 171 119 280
1549 171 0 281
1549 171 0 282
1549 171 0 283
1549 171 0 284
1577 2653 136 285
1549 171 0 286
1549 171 0 287
1549 171 0 288
1549 171 0 289
1549 171 0 290
1549 171 0 291
1549 171 0 292
1549 171 0 293
1549 171 0 294
1549 171 0 295
1549 171 0 296
1549 171 119 297
1549 171 0 298
1549 171 0 299
1549 171 0 300
1549 171 0 301
1549 171 0 302
1549 171 0 303
1577 2653 136 304
1549 171 0 305
1549 171 0 306
1549 171 0 307
1577 2653 136 308
1549 171 0 309
1549 171 0 310
